smiles,ic50
c1ncc2n(c1OCC(c1cc(c(cc1)F)F)CO)c(nn2)c1ccc(cc1)OC(F)F,0.02432
c1(ncc2n(c1)c(nn2)c1ccc(cc1)OC(F)F)OCCc1cc(c(cc1)F)F,0.03382
C(COc1cncc2n1c(nn2)c1ccc(cc1)OC(F)F)(c1ccc(c(c1)F)F)F,0.06536
FC(OC1=CC=C(C2=NN=C3C=NC=C(N32)OCC(C4=CC(F)=C(C=C4)F)O)C=C1)F,0.074
C(COc1cncc2n1c(nn2)c1ccc(cc1)OC(F)F)(c1ccc(c(c1)F)F)(O)C,0.1012
FC1=C(F)C=CC(CCOC2=CN=CC3=NN=C(C4=CC=C(Cl)C=C4)N32)=C1,0.1078
c1ncc2n(c1OCCc1cc(c(cc1)F)F)c(cn2)c1ccc(cc1)Cl,0.11
FC1=C(F)C=CC(C(OC)COC2=CN=CC3=NN=C(C4=CC=C(C#N)C=C4)N32)=C1,0.1105
FC1=C(F)C=CC(C(OC)COC2=CN=CC3=NN=C(C4=CC=C(C#N)C=C4)N32)=C1,0.1105
FC1=C(F)C=CC(C(OC)COC2=CN=CC3=NN=C(C4=CC=C(C#N)C=C4)N32)=C1,0.1105
FC1=C(F)C=CC(C(OC)COC2=CN=CC3=NN=C(C4=CC=C(C#N)C=C4)N32)=C1,0.1105
FC1=C(F)C=CC(C(OC)COC2=CN=CC3=NN=C(C4=CC=C(C#N)C=C4)N32)=C1,0.1105
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC(C4=CC=CC=C4)CO)N32,0.1137
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC(C4=CC=CC=C4)CO)N32,0.1137
c1ncc2n(c1Oc1cc3c(cc1)cccc3)c(nn2)c1ccc(cc1)OC(F)F,0.1147
C(COc1cncc2n1c(nn2)c1ccc(cc1)OC(F)F)(c1ccc(c(c1)F)F)(F)C,0.1228
ClC(C=C1)=CC=C1C2=NN=C3N2C(OCCC4=CC=CC=C4)=CN=C3,0.13
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCCC4=CC(OC)=CC=C4)N32,0.135
FC1=C(C=CC(C(COC2=CN=CC3=NN=C(N32)C4=CC=C(OC(F)F)C=C4)N(C)C)=C1)F,0.1408
c1nc(c2n(c1OCCc1cc(c(cc1)F)F)c(nn2)c1ccc(cc1)OC(F)F)Cl,0.16
c1ncc2n(c1Oc1ccc3c(c1)cc(cc3F)F)c(nn2)c1ccc(cc1)OC(F)F,0.1734
FC1=C(F)C=CC(C(OC)COC2=CN=CC3=NN=C(C4=CC=C(C#N)C=C4)N32)=C1,0.207
FC1=C(F)C=CC(C(OC)COC2=CN=CC3=NN=C(C4=CC=C(C#N)C=C4)N32)=C1,0.207
FC1=C(F)C=CC(C(OC)COC2=CN=CC3=NN=C(C4=CC=C(C#N)C=C4)N32)=C1,0.207
FC1=C(F)C=CC(C(OC)COC2=CN=CC3=NN=C(C4=CC=C(C#N)C=C4)N32)=C1,0.207
FC1=C(F)C=CC(C(OC)COC2=CN=CC3=NN=C(C4=CC=C(C#N)C=C4)N32)=C1,0.207
c1ncc2n(c1C(Nc1cccc(c1)Cl)=O)c(nn2)c1ccc(cc1)OC(F)F,0.211
c1ncc2n(c1C(NCc1cc(ccc1)Cl)=O)c(nn2)c1ccc(cc1)OC(F)F,0.25
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCCC4=CC=CC=C4)N32,0.251
ClC1=CC=CC(C2=NN=C3C=NC=C(OCCC4=CC=CC=C4)N32)=C1Cl,0.259
c1ncc2n(c1Oc1ccc(cc1)S(F)(F)(F)(F)F)c(nn2)c1ccc(cc1)OC(F)F,0.2627
c1ncc2n(c1OC[C@@H](c1cc(c(cc1)F)F)N)c(nn2)c1ccc(cc1)OC(F)F,0.2785
c1(ccccc1)CCCc1cncc2n1c(nn2)c1ccc(cc1)OC(F)F,0.28
c1c(ccc(c1F)F)CNC(c1cncc2n1c(nn2)c1ccc(cc1)OC(F)F)=O,0.28
FC1=C(F)C=CC(CCOC2=CN=CC3=NN=C(C4=CC=C(OC(F)F)C=C4)N32)=C1,0.281
N#CC(C=C1)=CC=C1C2=NN=C3N2C(OCC(OC)C4=CC=CC=C4)=CN=C3,0.285
N#CC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCCC4=CC=CC=C4Cl)N32,0.309
c1c(c(c(cc1)C(F)(F)F)Cl)CNC(c1cncc2n1c(nn2)c1ccc(cc1)OC(F)F)=O,0.309
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(C(NC4=CC(C(F)(F)F)=CC(C(F)(F)F)=C4)=O)N32,0.309
OC(C1=CC=CC=C1)COC2=CN=CC3=NN=C(C4=CC=C(OC(F)F)C=C4)N32,0.314275
c1ncc2n(c1CCCc1cc(c(cc1)F)F)c(nn2)c1ccc(cc1)OC(F)F,0.32
FC(C(Cl)=C1)=CC=C1NC(C2=CN=CC3=NN=C(C4=CC=C(OC(F)F)C=C4)N32)=O,0.3292
c1c(c(ccc1Cl)Cl)CNC(c1cncc2n1c(nn2)c1ccc(cc1)OC(F)F)=O,0.3321
O=C(NC1=CC=NC(C(F)(F)F)=C1)C2=CN=CC3=NN=C(C4=CC=C(OC(F)F)C=C4)N32,0.3475
c1ncc2n(c1COCc1cc(c(cc1)F)F)c(nn2)c1ccc(cc1)OC(F)F,0.36
FC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCCC4=CC=CC=C4)N32,0.366
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCCC4(C56)C7C6C8C5C4C87)N32,0.372
c1ncc2n(c1C(NCc1ccccc1Cl)=O)c(nn2)c1ccc(cc1)OC(F)F,0.38
c1ncc2n(c1Oc1ccc(cc1)C(F)(F)F)c(nn2)c1ccc(cc1)OC(F)F,0.3829
C12=NN=C(C3=CC(C=CC=C4)=C4C=C3)N1C(OCCC5=CC=CC=C5)=CN=C2,0.415
C1(CN(C1)c1cc(c(cc1)F)F)Oc1cncc2n1c(nn2)c1ccc(cc1)OC(F)F,0.43
C(COc1cncc2n1c(nn2)c1cnc(cc1)C(F)(F)F)c1cc(c(cc1)F)F,0.4349
ClC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC4=CC=C(F)C(F)=C4)N32,0.452
c1ncc2n(c1Oc1cc(c(cc1)Cl)Cl)c(nn2)c1ccc(cc1)OC(F)F,0.4551
c1ncc2n(c1OCCc1cc(c(cc1)F)F)c(nn2)N1Cc2c(C1)cccc2,0.47
C1(COC1)(COc1cncc2n1c(nn2)c1ccc(cc1)OC(F)F)c1cc(c(cc1)F)F,0.4833
c1(ccc2n(n1)c(nn2)c1ccc(cc1)OC(F)F)NCCc1ccc(cc1)F,0.5096
c1(ncc2n(c1)c(nn2)c1ccc(cc1)OC(F)F)OCc1cc(c(cc1)F)F,0.5207
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC4=CC=C(Cl)C(Cl)=C4)N32,0.529
N#CC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCCC4=CC=CC=C4)N32,0.534
c1ncc2n(c1C(=O)NC1CCc3c1ccc(c3)Cl)c(nn2)c1ccc(cc1)OC(F)F,0.5468
c1ncc2n(c1N[C@H](c1cc(c(cc1)F)F)CO)c(nn2)c1ccc(cc1)OC(F)F,0.5697
c1ncc2n(c1Oc1ccc3c(c1)scc3)c(nn2)c1ccc(cc1)OC(F)F,0.5764
OC(C1=CC(F)=C(F)C=C1)COC2=CN=CC3=NN=C(C4=CC=C(C#N)C=C4)N32,0.5767
FC(C=C1)=C(F)C=C1C2=NN=C3C=NC=C(OCCC4=CC=CC=C4)N32,0.582
c1ncc2n(c1Oc1cc(c(cc1)Cl)C(F)(F)F)c(nn2)c1ccc(cc1)OC(F)F,0.5973
[C@H]1([C@@H](N(C1)C1CC1)c1cc(c(cc1)F)F)Oc1cncc2n1c(nn2)c1ccc(cc1)OC(F)F,0.6095
c1ncc2n(c1OCC(c1cc(c(cc1)F)F)N1CCOCC1)c(nn2)c1ccc(cc1)OC(F)F,0.6133
c1ncc2nnc(n2c1C(Nc1ccc(c(c1)F)F)=O)c1ccc(cc1)OC(F)F,0.65
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OC(C)C4=CC=C(Cl)C(Cl)=C4)N32,0.702
ClC(C=C1)=C(Cl)C=C1C2=NN=C3C=NC=C(OCCC4=CC=CC=C4)N32,0.709
[C@H]1([C@H](N(C1)C1CC1)c1ccc(c(c1)F)F)Oc1cncc2nnc(n12)c1ccc(cc1)OC(F)F,0.7308
c1ncc2n(c1Oc1ccc(cc1)C(C)(C)C)c(nn2)c1ccc(cc1)OC(F)F,0.738
O=C(NC1=CC(Cl)=CC=C1C)C2=CN=CC(N23)=NN=C3C4=CC=C(OC(F)F)C=C4,0.7744
c1ncc2cnc(n2c1OCCc1cc(c(cc1)F)F)c1ccc(cc1)Cl,0.83
c1ncc2n(c1Oc1ccc3c(c1)cc(c(c3)F)F)c(nn2)c1ccc(cc1)OC(F)F,0.8392
c1ncc2n(c1OCCc1cc(c(cc1)F)F)c(nn2)Nc1cc(c(cc1)F)F,0.85
O=C(NC1=C(F)C(Cl)=CC=C1)C2=CN=CC(N23)=NN=C3C4=CC=C(OC(F)F)C=C4,0.9018
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCCC4=CC=C(OC)C=C4)N32,0.928
C12=NN=C(C3=CC(OCO4)=C4C=C3)N1C(OCCC5=CC=CC=C5)=CN=C2,1.014
c1ncc2n(c1C(=O)N(Cc1cc(ccc1)Cl)C)c(nn2)c1ccc(cc1)OC(F)F,1.06
O=C(NC1=CC(Cl)=CC=C1C)C2=CN=CC(N23)=NN=C3C4=CC=C(OC)C=C4,1.06
[C@H]1([C@@H](N(C1=O)C1CC1)c1cc(c(cc1)F)F)Oc1cncc2n1c(nn2)c1ccc(cc1)OC(F)F,1.121
c1ncc2n(c1C(NCc1ccc(cc1)Cl)=O)c(nn2)c1ccc(cc1)OC(F)F,1.34
c1ncc2n(c1C(=O)N[C@@H](c1ccccc1)C)c(nn2)c1ccc(cc1)OC(F)F,1.36
c1ncc2n(c1OCC1CCc3c1ccc(c3)Cl)c(nn2)c1ccc(cc1)OC(F)F,1.459
C12=NN=C(C3=CC=CC=C3)N1C(OCCC4=CC=CC=C4)=CN=C2,1.599
c1ncc2n(c1C(=O)N[C@H](c1ccccc1)C)c(nn2)c1ccc(cc1)OC(F)F,1.6
c1ncc2n(c1Oc1cc3c(cc1)ccc(n3)C(F)(F)F)c(nn2)c1ccc(cc1)OC(F)F,1.629
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC4=CC=C(Cl)C=C4)N32,1.636
c1ncc2nnc(n2c1OCc1cccc2c1cccc2)c1ccc(cc1)OC(F)F,1.668
c1ncc2n(c1Oc1cc3nc(ccc3cc1)OC)c(nn2)c1ccc(cc1)OC(F)F,1.67
c1ncc2n(c1Oc1ccc/3c(c1)OC(/C=C3/C)(C)C)c(nn2)c1ccc(cc1)OC(F)F,1.822
c1ncc2n(c1Oc1ccc3c(c1)onc3C)c(nn2)c1ccc(cc1)OC(F)F,1.928
c1cc(cc2c1n(cc2)C)Oc1cncc2n1c(nn2)c1ccc(cc1)OC(F)F,1.983
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCCCC45C6C7C4C8C5C6C87)N32,1.995
c1ncc2n(c1N1CCC(C1)c1ccccc1)c(nn2)c1ccc(cc1)OC(F)F,2
FC(F)Oc1ccc(cc1)c3nnc4cncc(OCC(N)c2ccccc2)n34,2
c1ncc2n(c1Oc1ccc3c(c1)cnc(n3)C(F)(F)F)c(nn2)c1ccc(cc1)OC(F)F,2.025
c1ncc2nnc(n2c1OCCc1ccc(c(c1)F)F)N1CCc2c1ccc(c2)F,2.05
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC4=CC=CC=C4)N32,2.239
ClC1=CC=CC(C2=NN=C3N2C(OCCC4=CC=CC=C4)=CN=C3)=C1,2.5
c1ncc2n(c1Oc1cc3c(cc1)CCCC3)c(nn2)c1ccc(cc1)OC(F)F,2.581
c1ncc2n(c1OCCc1cc(c(cc1)F)F)c(nn2)N1CCCCC1,2.63
c1ncc2n(c1Oc1ccc(cc1)Cl)c(nn2)c1ccc(cc1)OC(F)F,2.96
c1ncc2n(c1Oc1cccc(c1)Cl)c(nn2)c1ccc(cc1)OC(F)F,3.066
c1ncc2n(c1C(=O)NCCc1ccccc1)c(nn2)c1ccc(cc1)OC(F)F,3.17
c1(ncc2n(c1)c(nn2)c1ccc(cc1)OC(F)F)Oc1ccc(c(c1)F)F,3.446
FC(C(F)=C1)=CC=C1CCOC2=CC=CC3=NN=C(C4=CC=C(C#N)C=C4)N32,3.5
c1ncc2n(c1C(N1C(CCC1)c1ccccc1)=O)c(nn2)c1ccc(cc1)OC(F)F,3.56
c1ncc2nnc(n2c1C(Nc1ccc(cc1)F)=O)c1ccc(cc1)OC(F)F,3.74
c1[n+](cc2n(c1OCCc1cc(c(cc1)F)F)c(nn2)c1ccc(cc1)OC(F)F)[O-],4.01
C=1\NC(c2n(/C1/OCCc1cc(c(cc1)F)F)c(nn2)c1ccc(cc1)OC(F)F)=O,4.13
OC(C1=CC=CC=C1)COC2=CN=CC3=NN=C(C4=CN=C(C(F)(F)F)C=C4)N32,4.2154
O=C(NC1=C(C)C(Cl)=CC=C1)C2=CN=CC(N23)=NN=C3C4=CC=C(OC(F)F)C=C4,4.5956
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OC(C)C4=CC=C(C#N)C=C4)N32,4.801
N1(CC(C1)Oc1cc(c(cc1)F)F)c1cncc2n1c(nn2)c1ccc(cc1)OC(F)F,4.96
OC(COc2cncc3nnc(C1CCCCC1)n23)c4ccccc4,5
OC(COc2cncc3nnc(c1ccccc1)n23)c4ccccc4,5
ClC(C=CC=C1)=C1C2=NN=C3N2C(OCCC4=CC=CC=C4)=CN=C3,5
FC1=CC(C2=NN=C3N2C(OCCC4=CC=CC=C4)=CN=C3)=CC(F)=C1,5
FC(OC(C=C1)=CC=C1C2=NN=C3N2C(OCC4=NC=CC=C4)=CN=C3)F,5
ClC(C=CC=C1)=C1CCOC2=CC=CC3=NN=C(C4=CC=C(C#N)C=C4)N32,5.2
c1ncc2n(c1C(=O)Nc1ccc(cc1Cl)F)c(nn2)c1ccc(cc1)OC(F)F,5.576
O=C(NC1=C(F)C(Cl)=CC=C1)C2=CN=CC(N23)=NN=C3C4=CC=C(OC)C=C4,5.66
c1ncc2n(c1Oc1cccc(c1)Oc1ccccn1)c(nn2)c1ccc(cc1)OC(F)F,6.038
c1ncc2n(c1Oc1ccc3c(c1)nn(c3)C)c(nn2)c1ccc(cc1)OC(F)F,6.203
c1ncc2n(c1n1ncc(c1)c1cc(c(cc1)F)F)c(nn2)c1ccc(cc1)OC(F)F,6.721
c1(ccc2n(n1)c(nn2)c1ccc(cc1)OC(F)F)OCCc1cc(c(cc1)F)F,6.779
N#CC(C=C1)=CC=C1C2=NN=C3C=CC=C(OCCC4=CC=CC=C4)N32,6.8
c1nc(c2n(c1OCCc1cc(c(cc1)F)F)c(nn2)c1ccc(cc1)OC(F)F)N(CC)CC,6.86
c1nc(c2n(c1OCCc1cc(c(cc1)F)F)c(nn2)c1ccc(cc1)OC(F)F)C,6.92
O=C(NC1=CC=C(Cl)C=C1)C2=CN=CC3=NN=C(C4=CC=C(OC(F)F)C=C4)N32,8.1938
C1NCc2n(C1CCO)c(nn2)c1ccc(cc1)OC(F)F,8.37
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OC(C)C4=CC=C(F)C(F)=C4)N32,8.586
c1(ccccc1)CCCC1CNCc2n1c(nn2)c1ccc(cc1)OC(F)F,8.76
c1ncc2n(c1Nc1ccc(c(c1)Cl)Cl)c(nn2)c1ccc(cc1)OC(F)F,9.635
c1ncc2n(c1CCO)c(nn2)c1ccc(cc1)OC(F)F,10
c1ncc2n(c1OCCc1cc(c(cc1)F)F)c(nn2)C1CCOCC1,10
C1NCc2n(C1)c(nn2)c1ccc(cc1)OC(F)F,10
c1ncc2n(c1OCCc1cc(c(cc1)F)F)c(nn2)C1CCN(CC1)C(C)=O,10
C1N(Cc2n(C1)c(nn2)c1ccc(cc1)OC(F)F)C(CN)=O,10
O=C(N1CC(C=CC=C2)=C2C1)C3=CN=CC4=NN=C(C5=CC=C(OC(F)F)C=C5)N43,10
c1ncc2n(c1C(NCC1CCOCC1)=O)c(nn2)c1ccc(cc1)OC(F)F,10
c1ncc2n(c1C(N1CCN(CC1)c1ncccc1)=O)c(nn2)c1ccc(cc1)OC(F)F,10
c1ncc2n(c1C(NCCN1CCOCC1)=O)c(nn2)c1ccc(cc1)OC(F)F,10
c1ncc2n(c1C(N1CCOCC1)=O)c(nn2)c1ccc(cc1)OC(F)F,10
c1ncc2n(c1C(N1CCCC1)=O)c(nn2)c1ccc(cc1)OC(F)F,10
c1ncc2n(c1C(N1CCN(CC1)S(=O)(C)=O)=O)c(nn2)c1ccc(cc1)OC(F)F,10
c1ncc2n(c1C(Nc1ncccc1)=O)c(nn2)c1ccc(cc1)OC(F)F,10
N(c1cncc2n1c(nn2)c1ccc(cc1)OC(F)F)S(Cc1ccc(cc1)C(F)(F)F)(=O)=O,10
c1(CCN2CCOCC2)cncc2n1c(nn2)c1ccc(cc1)OC(F)F,10
c1nc(c2n(c1OCCc1cc(c(cc1)F)F)c(nn2)c1ccc(cc1)OC(F)F)N,10
c1ncc2n(c1CCN1Cc3c(C1)cccc3)c(nn2)c1ccc(cc1)OC(F)F,10
N1(CC(C1)c1ccccc1)c1cncc2n1c(nn2)c1ccc(cc1)OC(F)F,10
c1(C(NCc2cncc3n2c(nn3)c2ccc(cc2)OC(F)F)=O)cc(ccc1)Cl,10
FC1=C(F)C=CC(C(N(C)C)COC2=CN=CC3=NN=C(C4=CC=C(C#N)C=C4)N32)=C1,10
c1ncc2n(c1OCC(F)(F)F)c(nn2)c1ccc(cc1)OC(F)F,10
[C@H](COc1cncc2n1c(nn2)c1ccc(cc1)OC(F)F)(c1cc(c(cc1)F)F)NC,10
c1ncc2n(c1C(=O)N1CCc3c1ccc(c3)F)c(nn2)c1ccc(cc1)OC(F)F,10
c1(ncc2n(c1)c(nn2)c1ccc(cc1)OC(F)F)NCc1cc(c(cc1)F)F,10
c1(ncc2n(c1)c(nn2)c1ccc(cc1)OC(F)F)Nc1ccc(c(c1)F)F,10
c1ncc2n(c1n1ccnc1Cc1cc(c(cc1)F)F)c(nn2)c1ccc(cc1)OC(F)F,10
c1ncc2n(c1OCC(F)(F)F)c(nn2)c1c(n(nc1C)c1ccc(cc1)F)C,10
c1(ncc2n(c1)c(nn2)c1ccc(cc1)OC(F)F)NCCc1ccc(cc1)F,10
c1ncc2n(c1Oc1ccc(c(c1)Cl)Cl)c(nn2)c1c(n(nc1C)c1ccc(cc1)F)C,10
[C@H]1(C(N([C@@H]1c1cc(c(cc1)F)F)C1CC1)=O)Oc1ncc2n(c1)c(nn2)c1ccc(cc1)OC(F)F,10
c1ncc2n(c1Oc1ccc3c(c1)n(nc3)C)c(nn2)c1ccc(cc1)OC(F)F,10
c1ncc2n(c1C(=O)Nc1ccnc(c1)C(F)(F)F)c(nn2)c1c(nn(c1C)c1ccc(cc1)F)C,10
C1(CC1)(C(Oc1cncc2n1c(nn2)c1ccc(cc1)OC(F)F)C(F)(F)F)c1ccc(c(c1)F)F,10
c1(ncc2n(c1)c(nn2)c1ccc(cc1)OC(F)F)NC(Cc1cccc(c1)Cl)=O,10
c1(ccc2n(n1)c(nn2)c1ccc(cc1)C#N)NCCc1cnccc1,10
ClC1=CC=CC=C1CCOC2=CN=CC3=NN=C(C4=CC=NC=C4)N32,10
O=C(NC1=C(C)C(Cl)=CC=C1)C2=CN=CC(N23)=NN=C3C4=CC=C(OC)C=C4,10
O=C(NC1=CC(Cl)=CC=C1)C2=CN=CC(N23)=NN=C3C4=NC=CC=C4,10
O=C(NC1=CC(Cl)=CC=C1)C2=CN=CC(N23)=NN=C3C4=CN=CC=C4,10
OC(COc1cncc2nnc(CC)n12)c3ccccc3,10
FC(F)Oc1ccc(cc1)c2nnc3cncc(OC)n23,10
FC1=CC(C2=NN=C3N2C(OCC4=NC=CC=C4)=CN=C3)=CC(F)=C1,10
C12=NN=C(C3=CC(OCO4)=C4C=C3)N1C(OCC5=NC=CC=C5)=CN=C2,10
C12=NN=C(C3=CC(C=CC=C4)=C4C=C3)N1C(OCC5=NC=CC=C5)=CN=C2,10
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(SCCC4=CC=CC=C4)N32,10
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(S(CCC4=CC=CC=C4)=O)N32,10
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC4=CN(CC5=CC=CC=C5)N=N4)N32,10
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC(N=N4)=CN4C5=CC=CC=C5)N32,10
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC4=CN(C5=NC(Cl)=CN=C5)N=N4)N32,10
IC12C(C3C1C4C52)C5C34C6=NN=C7C=NC=C(OCCC8=CC(F)=C(F)C=C8)N76,10
FC(C=C1)=C(F)C=C1CCOC2=CN=CC3=NN=CN32,10
IC12C3C4C5(C3C1C5C24)C6=NN=C7C=NC=C(C(NC8=CC(C(F)(F)F)=NC=C8)=O)N76,10
ClC1=CC=CC(N/N=C/C2=CC=C(C#N)C=C2)=N1,50
ClC1=CC=CC2=NN=C(C3=CC=C(C#N)C=C3)N21,50
ClC1=CC=CC(C(NC2=CC(C(F)(F)F)=NC=C2)=O)=N1,50
O=C(NC1=CC=NC(C(F)(F)F)=C1)C2=CC=CC(N/N=C/C3=CC=C(C#N)C=C3)=N2,50
O=C(NC1=CC=NC(C(F)(F)F)=C1)C2=CC=CC3=NN=C(C4=CC=C(C#N)C=C4)N32,50
